役職,名前,所属
会長,大岡 宗弘,愛知県武術太極拳連盟 名誉会長
副会長,岡﨑 温,日本武術太極拳連盟 名誉副会長 ／愛知県武術太極拳連盟 副会長･専務理事
副会長,中村 剛,日本武術太極拳連盟 ジュニア普及委員会委員長／審判委員会･国スポ委員会 各副委員長／愛知県武術太極拳連盟 理事
事務局長／理事,高見 一枝,日本武術太極拳連盟 技能検定委員会 副委員長･常任講師／愛知県武術太極拳連盟 理事
事務局次長／理事,渡辺 こずえ,愛知県武術太極拳連盟 国スポ委員会委員
理事,池田 紀子,愛知県武術太極拳連盟 審判委員会委員
理事,板井 由美子,愛知県武術太極拳連盟 指導委員会委員
理事,伊藤 冨美子,日本武術太極拳連盟 太極拳A級指導員
理事,浦島 なゆみ,愛知県武術太極拳連盟 技能検定委員会委員
理事,唐沢 匡史,愛知県武術太極拳連盟 ジュニア普及委員会委員
理事,神戸 妙子,日本武術太極拳連盟 太極拳A級指導員
理事,佐藤 由佳,日本武術太極拳連盟 太極拳A級指導員
理事,下起 悦郎,日本武術太極拳連盟 強化委員会 強化コーチ／セントラルウーシュー 主宰
理事,高柳 和己,日本武術太極拳連盟 太極拳B級指導員
理事,中村 和子,愛知県武術太極拳連盟 ジュニア普及委員会･国スポ委員会 各委員
理事,三輪 修二,日本武術太極拳連盟 太極拳B級指導員／愛知県武術太極拳連盟 理事
理事,森 美智代,愛知県武術太極拳連盟 審判委員会委員･理事
会計監査,加藤 美智代,愛知県武術太極拳連盟 指導委員会委員
会計監査,柴田 恭孝,愛知県武術太極拳連盟 理事



